ElapsedTime,Action,X,Y
3841.454,PressedLeft,2394,1225
3841.459,LShiftKey,NA,NA
3841.473,PressedLeft,2391,1260
3841.478,LShiftKey,NA,NA
3841.493,PressedLeft,2439,1226
3848.483,PressedLeft,1391,933
3848.509,PressedLeft,1387,921
3848.541,LShiftKey,NA,NA
3848.556,PressedLeft,2394,1225
3848.561,LShiftKey,NA,NA
3848.576,PressedLeft,2391,1260
3848.581,LShiftKey,NA,NA
3848.597,PressedLeft,2439,1226
3858.244,PressedLeft,1316,606
3858.27,PressedLeft,1321,613
3865.28,PressedLeft,1464,632
3865.306,PressedLeft,1461,638
3872.468,PressedLeft,1250,879
3872.493,PressedLeft,1251,882
3879.795,PressedLeft,1417,785
3879.82,PressedLeft,1409,790
3879.852,LShiftKey,NA,NA
3879.866,PressedLeft,2394,1225
3879.871,LShiftKey,NA,NA
3879.886,PressedLeft,2391,1260
3879.891,LShiftKey,NA,NA
3879.905,PressedLeft,2439,1226
3886.902,PressedLeft,1337,826
3886.928,PressedLeft,1332,830
3894.487,PressedLeft,1330,826
3894.513,PressedLeft,1342,834
3894.545,LShiftKey,NA,NA
3894.559,PressedLeft,2394,1225
3894.564,LShiftKey,NA,NA
3894.578,PressedLeft,2391,1260
3894.583,LShiftKey,NA,NA
3894.599,PressedLeft,2439,1226
3901.617,PressedLeft,1245,884
3901.643,PressedLeft,1244,888
3901.675,LShiftKey,NA,NA
3901.689,PressedLeft,2394,1225
3901.694,LShiftKey,NA,NA
3901.71,PressedLeft,2391,1260
3901.715,LShiftKey,NA,NA
3901.729,PressedLeft,2439,1226
3908.854,PressedLeft,1406,784
3908.88,PressedLeft,1409,775
3908.912,LShiftKey,NA,NA
3908.926,PressedLeft,2394,1225
3908.931,LShiftKey,NA,NA
3908.945,PressedLeft,2391,1260
3908.95,LShiftKey,NA,NA
3908.965,PressedLeft,2439,1226
3916.245,PressedLeft,1327,828
3916.271,PressedLeft,1342,834
3916.303,LShiftKey,NA,NA
3916.317,PressedLeft,2394,1225
3916.322,LShiftKey,NA,NA
3916.339,PressedLeft,2391,1260
3916.344,LShiftKey,NA,NA
3916.359,PressedLeft,2439,1226
3924.333,PressedLeft,1343,829
3924.359,PressedLeft,1332,819
3924.391,LShiftKey,NA,NA
3924.405,PressedLeft,2394,1225
3924.41,LShiftKey,NA,NA
3924.425,PressedLeft,2391,1260
3924.43,LShiftKey,NA,NA
3924.444,PressedLeft,2439,1226
3932.036,PressedLeft,1342,823
3932.062,PressedLeft,1341,820
3932.094,LShiftKey,NA,NA
3932.109,PressedLeft,2394,1225
3932.114,LShiftKey,NA,NA
3932.129,PressedLeft,2391,1260
3932.134,LShiftKey,NA,NA
3932.148,PressedLeft,2439,1226
3939.167,PressedLeft,1334,826
3939.193,PressedLeft,1342,818
3946.886,PressedLeft,1343,830
3946.911,PressedLeft,1337,820
3946.943,LShiftKey,NA,NA
3946.957,PressedLeft,2394,1225
3946.963,LShiftKey,NA,NA
3946.978,PressedLeft,2391,1260
3946.983,LShiftKey,NA,NA
3946.998,PressedLeft,2439,1226
3954.012,PressedLeft,1342,831
3954.038,PressedLeft,1330,831
3954.07,LShiftKey,NA,NA
3954.084,PressedLeft,2394,1225
3954.089,LShiftKey,NA,NA
3954.103,PressedLeft,2391,1260
3954.108,LShiftKey,NA,NA
3954.123,PressedLeft,2439,1226
3961.687,PressedLeft,1250,884
3961.713,PressedLeft,1255,878
3961.745,LShiftKey,NA,NA
3961.759,PressedLeft,2394,1225
3961.764,LShiftKey,NA,NA
3961.778,PressedLeft,2391,1260
3961.783,LShiftKey,NA,NA
3961.798,PressedLeft,2439,1226
3969.089,PressedLeft,1308,831
3969.115,PressedLeft,1311,829
