ElapsedTime,Action,X,Y
722.05,LShiftKey,NA,NA
722.065,PressedLeft,2394,1225
722.07,LShiftKey,NA,NA
722.085,PressedLeft,2391,1260
722.09,LShiftKey,NA,NA
722.105,PressedLeft,2439,1226
729.538,PressedLeft,1592,470
729.564,PressedLeft,1597,458
729.596,LShiftKey,NA,NA
729.61,PressedLeft,2394,1225
729.615,LShiftKey,NA,NA
729.63,PressedLeft,2391,1260
729.635,LShiftKey,NA,NA
729.65,PressedLeft,2439,1226
736.926,PressedLeft,1592,592
736.953,PressedLeft,1583,584
744.78,PressedLeft,1394,679
744.806,PressedLeft,1390,683
752.796,PressedLeft,1143,939
752.822,PressedLeft,1146,943
752.854,LShiftKey,NA,NA
752.87,PressedLeft,2394,1225
752.875,LShiftKey,NA,NA
752.89,PressedLeft,2391,1260
752.895,LShiftKey,NA,NA
752.91,PressedLeft,2439,1226
760.184,PressedLeft,1401,919
760.21,PressedLeft,1388,930
760.242,LShiftKey,NA,NA
760.255,PressedLeft,2394,1225
760.26,LShiftKey,NA,NA
760.274,PressedLeft,2391,1260
760.279,LShiftKey,NA,NA
760.294,PressedLeft,2439,1226
767.579,PressedLeft,1315,609
767.605,PressedLeft,1309,605
767.637,LShiftKey,NA,NA
767.651,PressedLeft,2394,1225
767.656,LShiftKey,NA,NA
767.67,PressedLeft,2391,1260
767.675,LShiftKey,NA,NA
767.692,PressedLeft,2439,1226
775.238,PressedLeft,1599,469
775.263,PressedLeft,1591,460
775.295,LShiftKey,NA,NA
775.309,PressedLeft,2394,1225
775.314,LShiftKey,NA,NA
775.329,PressedLeft,2391,1260
775.334,LShiftKey,NA,NA
775.349,PressedLeft,2439,1226
782.496,PressedLeft,1195,1020
782.522,PressedLeft,1202,1031
782.554,LShiftKey,NA,NA
782.568,PressedLeft,2394,1225
782.573,LShiftKey,NA,NA
782.587,PressedLeft,2391,1260
782.592,LShiftKey,NA,NA
782.607,PressedLeft,2439,1226
789.9,PressedLeft,1118,722
789.926,PressedLeft,1111,730
789.959,LShiftKey,NA,NA
789.973,PressedLeft,2394,1225
789.978,LShiftKey,NA,NA
789.993,PressedLeft,2391,1260
789.998,LShiftKey,NA,NA
790.012,PressedLeft,2439,1226
797.447,PressedLeft,1415,783
797.473,PressedLeft,1419,784
797.505,LShiftKey,NA,NA
797.519,PressedLeft,2394,1225
797.524,LShiftKey,NA,NA
797.538,PressedLeft,2391,1260
797.543,LShiftKey,NA,NA
797.558,PressedLeft,2439,1226
804.689,PressedLeft,1232,893
804.715,PressedLeft,1229,885
812.127,PressedLeft,1242,873
812.153,PressedLeft,1245,882
812.185,LShiftKey,NA,NA
812.199,PressedLeft,2394,1225
812.204,LShiftKey,NA,NA
812.218,PressedLeft,2391,1260
812.223,LShiftKey,NA,NA
812.238,PressedLeft,2439,1226
820.911,PressedLeft,1315,833
820.937,PressedLeft,1317,842
820.969,LShiftKey,NA,NA
820.983,PressedLeft,2394,1225
820.988,LShiftKey,NA,NA
821.003,PressedLeft,2391,1260
821.008,LShiftKey,NA,NA
821.023,PressedLeft,2439,1226
828.023,PressedLeft,1416,786
828.049,PressedLeft,1415,778
837.995,PressedLeft,1495,641
838.021,PressedLeft,1497,633
838.053,LShiftKey,NA,NA
838.067,PressedLeft,2394,1225
838.072,LShiftKey,NA,NA
838.087,PressedLeft,2391,1260
838.092,LShiftKey,NA,NA
838.106,PressedLeft,2439,1226
845.125,PressedLeft,1228,882
845.151,PressedLeft,1219,876
852.184,PressedLeft,1213,893
852.21,PressedLeft,1217,898
852.242,LShiftKey,NA,NA
852.257,PressedLeft,2394,1225
852.262,LShiftKey,NA,NA
852.277,PressedLeft,2391,1260
852.282,LShiftKey,NA,NA
852.296,PressedLeft,2439,1226
859.308,PressedLeft,1564,582
859.334,PressedLeft,1567,590
859.366,LShiftKey,NA,NA
859.38,PressedLeft,2394,1225
859.385,LShiftKey,NA,NA
859.399,PressedLeft,2391,1260
859.404,LShiftKey,NA,NA
859.419,PressedLeft,2439,1226
867.251,PressedLeft,1381,681
867.277,PressedLeft,1393,685
867.309,LShiftKey,NA,NA
867.323,PressedLeft,2394,1225
867.328,LShiftKey,NA,NA
867.343,PressedLeft,2391,1260
867.348,LShiftKey,NA,NA
867.363,PressedLeft,2439,1226
875.885,PressedLeft,1366,693
875.911,PressedLeft,1378,682
875.943,LShiftKey,NA,NA
875.959,PressedLeft,2394,1225
875.964,LShiftKey,NA,NA
875.979,PressedLeft,2391,1260
875.984,LShiftKey,NA,NA
875.999,PressedLeft,2439,1226
883.105,PressedLeft,1230,878
883.131,PressedLeft,1231,876
883.163,LShiftKey,NA,NA
883.177,PressedLeft,2394,1225
883.182,LShiftKey,NA,NA
883.196,PressedLeft,2391,1260
883.201,LShiftKey,NA,NA
883.216,PressedLeft,2439,1226
890.497,PressedLeft,1287,981
890.522,PressedLeft,1289,984
890.554,LShiftKey,NA,NA
890.569,PressedLeft,2394,1225
890.574,LShiftKey,NA,NA
890.591,PressedLeft,2391,1260
890.596,LShiftKey,NA,NA
890.612,PressedLeft,2439,1226
898.341,PressedLeft,1320,597
898.367,PressedLeft,1327,606
898.399,LShiftKey,NA,NA
898.414,PressedLeft,2394,1225
898.419,LShiftKey,NA,NA
898.433,PressedLeft,2391,1260
898.438,LShiftKey,NA,NA
898.453,PressedLeft,2439,1226
907.535,PressedLeft,1360,681
907.561,PressedLeft,1360,688
907.593,LShiftKey,NA,NA
907.607,PressedLeft,2394,1225
907.612,LShiftKey,NA,NA
907.626,PressedLeft,2391,1260
907.631,LShiftKey,NA,NA
907.646,PressedLeft,2439,1226
914.792,PressedLeft,1463,625
914.818,PressedLeft,1463,629
914.85,LShiftKey,NA,NA
914.864,PressedLeft,2394,1225
914.869,LShiftKey,NA,NA
914.883,PressedLeft,2391,1260
914.888,LShiftKey,NA,NA
914.903,PressedLeft,2439,1226
922.451,PressedLeft,1310,970
922.477,PressedLeft,1306,974
922.509,LShiftKey,NA,NA
922.523,PressedLeft,2394,1225
922.528,LShiftKey,NA,NA
922.542,PressedLeft,2391,1260
922.547,LShiftKey,NA,NA
922.562,PressedLeft,2439,1226
930.528,PressedLeft,1535,395
930.555,PressedLeft,1542,407
930.587,LShiftKey,NA,NA
930.603,PressedLeft,2394,1225
930.608,LShiftKey,NA,NA
930.623,PressedLeft,2391,1260
930.628,LShiftKey,NA,NA
930.642,PressedLeft,2439,1226
937.651,PressedLeft,1415,364
937.676,PressedLeft,1419,352
937.708,LShiftKey,NA,NA
937.723,PressedLeft,2394,1225
