ElapsedTime,Action,X,Y
22.039,Moved,1367,758
22.041,Moved,1367,757
22.046,Moved,1368,757
22.051,Moved,1368,756
22.057,Moved,1369,755
22.059,Moved,1369,754
22.062,Moved,1370,754
22.067,Moved,1370,753
22.068,Moved,1370,752
22.072,Moved,1371,752
22.076,Moved,1371,751
22.077,Moved,1372,751
22.082,Moved,1372,750
22.084,Moved,1372,749
22.086,Moved,1373,749
22.091,Moved,1373,748
22.092,Moved,1373,747
22.095,Moved,1374,747
22.099,Moved,1374,746
22.1,Moved,1375,746
22.105,Moved,1375,745
22.107,Moved,1375,744
22.109,Moved,1376,744
22.114,Moved,1376,743
22.116,Moved,1376,742
22.118,Moved,1377,742
22.122,Moved,1377,741
22.123,Moved,1378,741
22.127,Moved,1378,740
22.131,Moved,1378,739
22.132,Moved,1379,739
22.136,Moved,1379,738
22.139,Moved,1379,737
22.141,Moved,1380,737
22.147,Moved,1380,736
22.15,Moved,1380,735
22.153,Moved,1381,735
22.159,Moved,1381,734
22.161,Moved,1381,733
22.167,Moved,1382,733
22.172,Moved,1382,732
22.175,Moved,1382,731
22.182,Moved,1383,731
22.189,Moved,1383,730
22.194,Moved,1383,729
22.2,Moved,1384,729
22.211,Moved,1384,728
22.219,Moved,1384,727
22.227,Moved,1385,727
22.238,Moved,1385,726
22.245,Moved,1385,725
22.249,Moved,1386,725
22.259,Moved,1386,724
22.268,Moved,1386,723
22.27,Moved,1387,723
22.283,Moved,1387,722
22.297,Moved,1387,721
22.32,Moved,1388,721
22.431,Moved,1388,720
22.596,Moved,1388,719
22.608,Moved,1389,719
22.641,Moved,1389,718
22.643,Moved,1390,718
22.693,Moved,1390,717
22.7,Moved,1390,716
22.723,Moved,1391,716
22.731,Moved,1391,715
22.744,Moved,1392,715
22.759,Moved,1392,714
23.1,Moved,1393,714
23.106,Moved,1394,713
23.109,Moved,1395,713
23.115,Moved,1395,712
23.12,Moved,1396,712
23.126,Moved,1396,711
23.134,Moved,1397,711
23.151,Moved,1397,710
23.555,Moved,1398,710
23.57,Moved,1397,710
23.571,Moved,1397,711
23.582,Moved,1396,711
23.591,Moved,1395,711
23.594,Moved,1395,712
23.61,Moved,1394,712
23.623,Moved,1393,712
23.639,Moved,1393,713
23.686,Moved,1392,713
23.687,Moved,1391,713
24.455,Moved,1391,714
24.758,Moved,1390,714
24.808,Moved,1389,714
24.841,Moved,1388,714
24.861,Moved,1387,714
24.875,Moved,1387,715
25.055,Moved,1386,715
25.076,Moved,1385,715
25.078,Moved,1385,714
25.088,Moved,1384,714
25.089,Moved,1384,713
25.097,Moved,1383,713
25.098,Moved,1383,712
25.107,Moved,1382,712
25.108,Moved,1381,712
25.114,Moved,1381,711
25.115,Moved,1380,711
25.121,Moved,1380,710
25.123,Moved,1379,710
25.128,Moved,1379,709
25.132,Moved,1378,709
25.135,Moved,1378,708
25.141,Moved,1377,708
25.142,Moved,1377,707
25.149,Moved,1376,707
25.15,Moved,1375,707
25.158,Moved,1375,706
25.162,Moved,1374,706
25.165,Moved,1374,705
25.17,Moved,1373,705
25.171,Moved,1373,704
25.177,Moved,1372,704
25.184,Moved,1371,703
25.185,Moved,1370,703
25.189,Moved,1370,702
25.192,Moved,1369,702
25.194,Moved,1369,701
25.197,Moved,1368,701
25.199,Moved,1368,700
25.203,Moved,1367,700
25.204,Moved,1367,699
25.207,Moved,1366,699
25.208,Moved,1365,699
25.212,Moved,1365,698
25.215,Moved,1364,698
25.216,Moved,1364,697
25.22,Moved,1363,697
25.221,Moved,1363,696
25.225,Moved,1362,696
25.226,Moved,1362,695
25.23,Moved,1361,695
25.231,Moved,1360,695
25.234,Moved,1360,694
25.237,Moved,1359,694
25.238,Moved,1359,693
25.242,Moved,1358,693
25.243,Moved,1358,692
25.248,Moved,1357,692
25.249,Moved,1356,692
25.253,Moved,1356,691
25.254,Moved,1355,691
25.258,Moved,1355,690
25.261,Moved,1354,690
25.264,Moved,1354,689
25.268,Moved,1353,689
25.269,Moved,1353,688
25.274,Moved,1352,688
25.275,Moved,1352,687
25.28,Moved,1351,687
25.287,Moved,1350,686
25.293,Moved,1349,685
25.294,Moved,1348,685
25.3,Moved,1348,684
25.302,Moved,1347,684
25.307,Moved,1347,683
25.31,Moved,1346,683
25.315,Moved,1346,682
25.319,Moved,1345,682
25.324,Moved,1345,681
25.328,Moved,1344,681
25.334,Moved,1344,680
25.338,Moved,1343,680
25.345,Moved,1343,679
25.347,Moved,1342,679
25.356,Moved,1342,678
25.358,Moved,1341,678
25.365,Moved,1341,677
25.368,Moved,1340,677
25.375,Moved,1340,676
25.377,Moved,1339,676
25.383,Moved,1339,675
25.388,Moved,1338,675
25.391,Moved,1338,674
25.397,Moved,1337,674
25.399,Moved,1337,673
25.405,Moved,1336,673
25.411,Moved,1335,672
25.416,Moved,1334,672
25.418,Moved,1334,671
25.425,Moved,1333,671
25.431,Moved,1332,671
25.434,Moved,1332,670
25.444,Moved,1331,670
25.452,Moved,1330,670
25.454,Moved,1330,669
25.464,Moved,1329,669
25.474,Moved,1328,669
25.477,Moved,1327,669
25.482,Moved,1327,668
25.491,Moved,1326,668
25.498,Moved,1325,668
25.5,Moved,1324,668
25.505,Moved,1324,667
25.511,Moved,1323,667
25.516,Moved,1322,667
25.518,Moved,1321,667
25.522,Moved,1321,666
25.527,Moved,1320,666
25.532,Moved,1319,666
25.537,Moved,1318,666
25.538,Moved,1317,666
25.543,Moved,1317,665
25.549,Moved,1316,665
25.556,Moved,1315,665
25.564,Moved,1314,665
25.573,Moved,1313,665
25.673,Moved,1312,665
25.674,Moved,1313,665
25.678,Moved,1313,666
25.68,Moved,1314,666
25.682,Moved,1314,667
25.685,Moved,1315,667
25.688,Moved,1316,668
25.691,Moved,1317,668
25.692,Moved,1317,669
25.695,Moved,1318,669
25.696,Moved,1319,669
25.697,Moved,1319,670
25.7,Moved,1320,670
25.702,Moved,1321,671
25.705,Moved,1322,671
25.706,Moved,1323,671
25.707,Moved,1323,672
25.71,Moved,1324,672
25.712,Moved,1325,672
25.714,Moved,1326,673
25.716,Moved,1327,673
25.719,Moved,1328,673
25.721,Moved,1329,673
25.723,Moved,1330,673
25.725,Moved,1331,673
25.726,Moved,1331,674
25.728,Moved,1332,674
25.73,Moved,1333,674
25.732,Moved,1334,674
25.735,Moved,1335,674
25.738,Moved,1336,674
25.741,Moved,1337,674
25.744,Moved,1338,674
25.747,Moved,1339,674
25.751,Moved,1340,674
25.756,Moved,1341,674
25.767,Moved,1342,674
25.778,PressedLeft,1343,674
25.983,Moved,1343,674
25.996,Moved,1343,675
26.004,Moved,1343,676
26.01,Moved,1343,677
26.015,Moved,1343,678
26.017,Moved,1344,678
26.022,Moved,1344,679
26.028,Moved,1344,680
26.031,Moved,1344,681
26.033,Moved,1345,681
26.038,Moved,1345,682
26.043,Moved,1345,683
26.045,Moved,1345,684
26.049,Moved,1346,684
26.055,Moved,1346,685
26.057,Moved,1346,686
26.061,Moved,1347,686
26.066,Moved,1347,687
26.072,Moved,1347,688
26.073,Moved,1347,689
26.078,Moved,1348,689
26.084,Moved,1348,690
26.086,Moved,1348,691
26.091,Moved,1349,691
26.099,Moved,1349,692
26.108,Moved,1349,693
26.109,Moved,1349,694
26.118,Moved,1350,694
26.127,Moved,1350,695
26.135,Moved,1350,696
26.139,Moved,1351,696
26.155,Moved,1351,697
26.477,Moved,1351,698
26.48,Moved,1351,697
26.507,Moved,1350,697
26.516,Moved,1349,697
29.955,Moved,1349,696
29.962,Moved,1349,697
29.971,Moved,1349,698
29.98,Moved,1349,699
29.993,Moved,1349,700
30.003,Moved,1349,701
30.014,Moved,1349,702
30.026,Moved,1349,703
30.043,Moved,1349,704
30.068,Moved,1349,705
30.103,Moved,1349,706
30.127,Moved,1349,707
30.142,Moved,1349,708
30.154,Moved,1349,709
30.165,Moved,1349,710
30.175,Moved,1349,711
30.189,Moved,1349,712
30.202,Moved,1349,713
30.219,Moved,1349,714
30.234,Moved,1349,715
30.238,Moved,1349,716
30.258,Moved,1350,716
30.283,Moved,1350,717
30.317,Moved,1350,718
30.336,Moved,1350,719
30.349,Moved,1350,720
30.359,Moved,1350,721
30.366,Moved,1350,722
30.373,Moved,1350,723
30.379,Moved,1350,724
30.385,Moved,1350,725
30.39,Moved,1350,726
30.394,Moved,1350,727
30.398,Moved,1350,728
30.402,Moved,1350,729
30.405,Moved,1350,730
30.407,Moved,1350,731
30.411,Moved,1350,732
30.413,Moved,1350,733
30.415,Moved,1350,734
30.417,Moved,1350,735
30.42,Moved,1350,736
30.421,Moved,1350,737
30.423,Moved,1350,738
30.426,Moved,1350,739
30.427,Moved,1350,740
30.429,Moved,1350,741
30.431,Moved,1350,742
30.432,Moved,1350,743
30.434,Moved,1350,744
30.436,Moved,1350,745
30.438,Moved,1350,746
30.439,Moved,1350,747
30.441,Moved,1350,748
30.443,Moved,1350,749
30.444,Moved,1350,750
30.446,Moved,1350,751
30.447,Moved,1350,752
30.448,Moved,1350,753
30.45,Moved,1350,754
30.452,Moved,1350,755
30.453,Moved,1350,756
30.455,Moved,1350,757
30.457,Moved,1350,758
30.458,Moved,1350,759
30.46,Moved,1350,760
30.461,Moved,1350,761
30.463,Moved,1350,762
30.465,Moved,1350,763
30.466,Moved,1350,764
30.468,Moved,1350,765
30.47,Moved,1350,766
30.472,Moved,1350,767
30.473,Moved,1350,768
30.475,Moved,1350,769
30.477,Moved,1350,770
30.479,Moved,1350,771
30.48,Moved,1350,772
30.482,Moved,1350,773
30.484,Moved,1350,774
30.486,Moved,1350,775
30.487,Moved,1350,776
30.489,Moved,1350,777
30.492,Moved,1350,778
30.494,Moved,1350,779
30.496,Moved,1350,780
30.498,Moved,1350,781
