ElapsedTime,Action,X,Y
2277.595,PressedLeft,1414,785
2277.62,PressedLeft,1412,781
2285.766,PressedLeft,1337,827
2285.792,PressedLeft,1324,827
2293.064,PressedLeft,1315,839
2293.09,PressedLeft,1322,837
2293.122,LShiftKey,NA,NA
2293.136,PressedLeft,2394,1225
2293.141,LShiftKey,NA,NA
2293.155,PressedLeft,2391,1260
2293.16,LShiftKey,NA,NA
2293.175,PressedLeft,2439,1226
2301.841,PressedLeft,1560,586
2301.867,PressedLeft,1560,583
2309.286,PressedLeft,1194,1032
2309.312,PressedLeft,1201,1025
2309.344,LShiftKey,NA,NA
2309.358,PressedLeft,2394,1225
2309.363,LShiftKey,NA,NA
2309.378,PressedLeft,2391,1260
2309.383,LShiftKey,NA,NA
2309.398,PressedLeft,2439,1226
2316.953,PressedLeft,1025,764
2316.979,PressedLeft,1022,765
2317.011,LShiftKey,NA,NA
2317.025,PressedLeft,2394,1225
2317.03,LShiftKey,NA,NA
2317.044,PressedLeft,2391,1260
2317.049,LShiftKey,NA,NA
2317.064,PressedLeft,2439,1226
2324.05,PressedLeft,1320,830
2324.076,PressedLeft,1314,840
2324.108,LShiftKey,NA,NA
2324.122,PressedLeft,2394,1225
2324.127,LShiftKey,NA,NA
2324.141,PressedLeft,2391,1260
2324.146,LShiftKey,NA,NA
2324.161,PressedLeft,2439,1226
2332.564,PressedLeft,1309,838
2332.59,PressedLeft,1314,851
2332.622,LShiftKey,NA,NA
2332.636,PressedLeft,2394,1225
2332.641,LShiftKey,NA,NA
2332.655,PressedLeft,2391,1260
2332.66,LShiftKey,NA,NA
2332.675,PressedLeft,2439,1226
2339.675,PressedLeft,1311,838
2339.701,PressedLeft,1323,837
2339.733,LShiftKey,NA,NA
2339.747,PressedLeft,2394,1225
2339.752,LShiftKey,NA,NA
2339.766,PressedLeft,2391,1260
2339.771,LShiftKey,NA,NA
2339.786,PressedLeft,2439,1226
2348.599,PressedLeft,1311,836
2348.625,PressedLeft,1323,831
2356.876,PressedLeft,1417,792
2356.903,PressedLeft,1406,784
2356.935,LShiftKey,NA,NA
2356.949,PressedLeft,2394,1225
2356.954,LShiftKey,NA,NA
2356.968,PressedLeft,2391,1260
2356.973,LShiftKey,NA,NA
2356.988,PressedLeft,2439,1226
2364.834,PressedLeft,1182,807
2364.861,PressedLeft,1196,807
2364.893,LShiftKey,NA,NA
2364.908,PressedLeft,2394,1225
2364.913,LShiftKey,NA,NA
2364.928,PressedLeft,2391,1260
2364.933,LShiftKey,NA,NA
2364.947,PressedLeft,2439,1226
2373.346,PressedLeft,1560,593
2373.371,PressedLeft,1560,594
2381.357,PressedLeft,1126,928
2381.382,PressedLeft,1134,933
2381.414,LShiftKey,NA,NA
2381.429,PressedLeft,2394,1225
2381.434,LShiftKey,NA,NA
2381.449,PressedLeft,2391,1260
2381.454,LShiftKey,NA,NA
2381.469,PressedLeft,2439,1226
2388.604,PressedLeft,1130,933
2388.63,PressedLeft,1127,931
2388.662,LShiftKey,NA,NA
2388.676,PressedLeft,2394,1225
2388.681,LShiftKey,NA,NA
2388.695,PressedLeft,2391,1260
2388.701,LShiftKey,NA,NA
2388.716,PressedLeft,2439,1226
2395.855,PressedLeft,1416,777
2395.881,PressedLeft,1415,776
2403.063,PressedLeft,1232,882
2403.089,PressedLeft,1233,874
2412.022,PressedLeft,1325,841
2412.048,PressedLeft,1313,834
2412.08,LShiftKey,NA,NA
2412.094,PressedLeft,2394,1225
2412.099,LShiftKey,NA,NA
2412.113,PressedLeft,2391,1260
2412.118,LShiftKey,NA,NA
2412.133,PressedLeft,2439,1226
2419.686,PressedLeft,1560,591
2419.711,PressedLeft,1560,592
2419.743,LShiftKey,NA,NA
2419.757,PressedLeft,2394,1225
2419.762,LShiftKey,NA,NA
2419.777,PressedLeft,2391,1260
2419.782,LShiftKey,NA,NA
2419.797,PressedLeft,2439,1226
2427.625,PressedLeft,1393,684
2427.651,PressedLeft,1392,675
2427.683,LShiftKey,NA,NA
2427.697,PressedLeft,2394,1225
2427.702,LShiftKey,NA,NA
2427.716,PressedLeft,2391,1260
2427.721,LShiftKey,NA,NA
2427.736,PressedLeft,2439,1226
2434.86,PressedLeft,1139,943
2434.886,PressedLeft,1133,935
2434.918,LShiftKey,NA,NA
2434.932,PressedLeft,2394,1225
2434.937,LShiftKey,NA,NA
2434.952,PressedLeft,2391,1260
2434.957,LShiftKey,NA,NA
2434.972,PressedLeft,2439,1226
2442.381,PressedLeft,1417,780
2442.407,PressedLeft,1421,785
2442.439,LShiftKey,NA,NA
2442.453,PressedLeft,2394,1225
2442.458,LShiftKey,NA,NA
2442.472,PressedLeft,2391,1260
2442.477,LShiftKey,NA,NA
2442.492,PressedLeft,2439,1226
2450.055,PressedLeft,1241,882
2450.082,PressedLeft,1241,878
2450.114,LShiftKey,NA,NA
2450.129,PressedLeft,2394,1225
2450.134,LShiftKey,NA,NA
2450.149,PressedLeft,2391,1260
