Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0.541	Moved	1897	482
0.542	Moved	1894	483
0.543	Moved	1890	485
0.544	Moved	1885	486
0.545	Moved	1882	488
0.546	Moved	1878	489
0.547	Moved	1874	491
0.548	Moved	1870	493
0.549	Moved	1866	494
0.55	Moved	1863	496
0.551	Moved	1858	498
0.552	Moved	1854	500
0.553	Moved	1851	501
0.554	Moved	1846	503
0.555	Moved	1843	505
0.556	Moved	1839	507
0.557	Moved	1834	509
0.558	Moved	1831	511
0.559	Moved	1827	513
0.56	Moved	1822	515
0.561	Moved	1819	517
0.562	Moved	1815	519
0.563	Moved	1811	521
0.564	Moved	1807	524
0.565	Moved	1803	526
0.566	Moved	1799	528
0.567	Moved	1795	530
0.568	Moved	1791	532
0.569	Moved	1787	534
0.57	Moved	1783	537
0.571	Moved	1780	538
0.572	Moved	1775	541
0.573	Moved	1771	543
0.574	Moved	1768	545
0.575	Moved	1764	547
0.576	Moved	1760	549
0.577	Moved	1756	552
0.578	Moved	1752	554
0.579	Moved	1749	556
0.58	Moved	1744	558
0.582	Moved	1740	560
0.583	Moved	1737	562
0.584	Moved	1733	565
0.585	Moved	1730	567
0.586	Moved	1726	569
0.587	Moved	1722	571
0.588	Moved	1719	573
0.589	Moved	1715	576
0.59	Moved	1712	577
0.591	Moved	1708	580
0.592	Moved	1704	582
0.593	Moved	1701	584
0.594	Moved	1697	586
0.595	Moved	1693	588
0.596	Moved	1690	590
0.597	Moved	1687	592
0.598	Moved	1684	594
0.599	Moved	1680	596
0.6	Moved	1677	598
0.601	Moved	1674	600
0.602	Moved	1671	602
0.603	Moved	1668	604
0.604	Moved	1665	605
0.605	Moved	1661	607
0.606	Moved	1659	609
0.607	Moved	1656	611
0.608	Moved	1653	613
0.609	Moved	1651	614
0.61	Moved	1648	616
0.611	Moved	1646	618
0.612	Moved	1643	619
0.613	Moved	1640	621
0.614	Moved	1638	623
0.615	Moved	1636	624
0.616	Moved	1634	626
0.617	Moved	1632	627
0.618	Moved	1629	629
0.619	Moved	1628	630
0.62	Moved	1625	632
0.621	Moved	1623	634
0.622	Moved	1622	635
0.623	Moved	1620	637
0.624	Moved	1618	638
0.625	Moved	1617	640
0.626	Moved	1615	641
0.627	Moved	1614	642
0.628	Moved	1612	644
0.629	Moved	1611	645
0.63	Moved	1609	647
0.631	Moved	1608	648
